title,image_path,thumbnail_path,description
break,data/works/2018/break.jpg,data/works/2018/break_thumbnail.jpg,"Break, oil on canvas"
candys on cake,data/works/2018/candys_on_cake.jpg,data/works/2018/candys_on_cake_thumbnail.jpg,"Candys on Cake, oil on canvas"
cream,data/works/2018/cream.jpg,data/works/2018/cream_thumbnail.jpg,"Cream,oil,plastic on canvas"
cream I,data/works/2018/cream_1.jpg,data/works/2018/cream_1_thumbnail.jpg,"Cream I,oil,plastic on canvas"
crowded cakes,data/works/2018/crowded_cakes.jpg,data/works/2018/crowded_cakes_thumbnail.jpg,"Crowed Cakes, oil on canvas"
meat in brown sauce,data/works/2018/meat_in_brown_sauce.jpg,data/works/2018/meat_in_brown_sauce_thumbnail.jpg,"Meat in Brown Sauce, oil on canvas"
secret garden,data/works/2018/secret_garden.jpg,data/works/2018/secret_garden_thumbnail.jpg,"Secret Garden, oil on canvas"
show I,data/works/2018/show_1.jpg,data/works/2018/show_1_thumbnail.jpg,"Show-I,oil on canvas"
show II,data/works/2018/show_2.jpg,data/works/2018/show_2_thumbnail.jpg,"Show-II,oil on canvas"
still life,data/works/2018/still_life.jpg,data/works/2018/still_life_thumbnail.jpg,"Still Life,oil on canvas"
